url,title,text
https://www.bloomberg.com/news/articles/2018-02-13/exxon-sues-the-suers-in-fierce-bid-to-defeat-climate-lawsuits,Exxon Sues the Suers in Fierce Climate-Change Case - Bloomberg,"... As <b>climate</b>-<b>change</b> lawsuits against the oil industry mount, <b>Exxon Mobil Corp</b>. is <br>
taking a bare-knuckle approach rarely seen in legal disputes:&nbsp;..."
https://www.americanbar.org/publications/trends/2012_13/january_february/native_village_kivalina_v_exxonmobil_corp_end_climate_change_tort_litigation.html,Native Village of Kivalina v. ExxonMobil Corp.: The end of “climate ...,"<b>ExxonMobil Corp</b>., 696 F.3d 849 (9th Cir. 2012), dealt another ... Together, these <br>
cases might spell the end of <b>climate change</b> tort litigation in the federal courts."
http://www.pionline.com/article/20171212/ONLINE/171219920/exxon-mobil-agrees-to-disclose-climate-change-risk-on-company,Exxon Mobil agrees to disclose climate change risk on company ...,"... Responding to a shareholder request, <b>Exxon Mobil Corp</b>. has agreed to evaluate <br>
and disclose the viability of its portfolio under the 2-degrees&nbsp;..."
https://www.washingtonpost.com/news/energy-environment/wp/2017/05/31/exxonmobil-is-trying-to-fend-off-a-shareholder-rebellion-over-climate-change/,Vanguard and BlackRock force Exxon to factor climate change into ...,"... The shareholder rebellion at the <b>ExxonMobil</b> annual meeting in Dallas was led <br>
by […] ... The shareholder vote on <b>climate change</b> came on a day when ... Some <br>
<b>corporate</b> governance groups have urged <b>ExxonMobil</b> to disclose&nbsp;..."
https://en.wikipedia.org/wiki/Kivalina_v._ExxonMobil_Corp.,Kivalina v. ExxonMobil Corp. - Wikipedia,"Kivalina v. <b>ExxonMobil Corporation</b>, et al. is a lawsuit filed on February 26, 2008, <br>
in a United States district court. The suit, based on the common law theory of <br>
nuisance, claims monetary damages from the energy industry for the destruction <br>
of Kivalina, Alaska by flooding caused by <b>climate change</b>."
https://seekingalpha.com/article/4132686-exxon-mobil-changes-course-climate-disclosures,Exxon Mobil Changes Course On Climate Disclosures - Exxon Mobil ...,"... <b>Exxon Mobil</b> announced last week that it will begin releasing <b>climate</b> ... <br>
Consistent with <b>ExxonMobil&#39;s Corporate</b> Governance Guidelines, the&nbsp;..."
https://www.osc.state.ny.us/press/releases/dec17/121217.htm,NYS Comptroller DiNapoli: ExxonMobil Agrees to Assess Impacts of ...,"... &quot;<b>ExxonMobil&#39;s</b> adoption of greater climate analysis is a win for ... We will continue <br>
to monitor Exxon&#39;s response to <b>climate change</b> as we urge the ... corporations <br>
and it has since been adopted by PPL <b>Corporation</b> and others."
https://www.ogj.com/articles/2018/04/ag-can-seek-exxonmobil-climate-change-data-massachusetts-court-rules.html,"AG can seek ExxonMobil climate-change data, Massachusetts court ...","... Maura T. Healey (D) has authority under state law to investigate whether <br>
<b>ExxonMobil Corp</b>. suppressed information related to <b>global climate</b>&nbsp;..."
https://www.law.com/newyorklawjournal/2018/04/20/exxon-mobil-appeals-dismissal-of-bid-to-derail-state-ags-climate-change-actions/,Exxon Mobil Appeals Dismissal of Bid to Derail State AGs' Climate ...,"... <b>Exxon Mobil Corp</b>. filed a notice of appeal to the U.S. Court of Appeals for ... <br>
Exxon over the company&#39;s views on <b>climate change</b>, and, therefore,&nbsp;..."
https://www.law360.com/articles/1028528/exxon-mobil-escapes-erisa-climate-change-case-for-now,"Exxon Mobil Escapes ERISA Climate Change Case, For Now ...","... A Texas federal judge Friday freed <b>Exxon Mobil Corp</b>. — at least temporarily — <br>
from a proposed class action over the impact of its <b>climate</b>&nbsp;..."
