url,title,text
https://mlexmarketinsight.com/insights-center/editors-picks/anti-bribery-and-corruption/cross-jurisdiction/heritage-banque-executive-handed-swiss-fine-over-petrobras-failings,Heritage Banque executive handed Swiss fine over Petrobras ...,"... For more information and to change settings click here. ... Heritage Banque <br>
executive handed Swiss fine over <b>Petrobras</b> failings ... against Swiss banks <br>
linked to widespread corruption allegations involving <b>Petrobras</b>. ... Energy &amp; <br>
<b>Climate Change</b> &middot; Mergers &amp; Acquisitions &middot; Technology, Media &amp; Telecoms&nbsp;..."
https://www.shell.com/media/news-and-media-releases/2017/shell-and-petrobras-sign-technical-cooperation-agreement-to-strengthen-deep-water-partnership.html,Shell and Petrobras sign technical cooperation agreement to ...,"... Shell will share with <b>Petrobras</b> its global deep water experience, ... regulatory <br>
measures addressing <b>climate change</b>; (k) economic and financial&nbsp;..."
https://www.rigzone.com/news/petrobras_announces_intention_to_join_ogci-26-jan-2018-153288-article/,Petrobras Announces Intention to Join OGCI | Rigzone,"... <b>Petrobras</b> announces its intention to join the Oil and Gas Climate Initiative ... <br>
which aims to lead the industry response to <b>climate change</b>."
http://www.pennenergy.com/articles/pennenergy/2018/04/oil-and-gas-bp-and-petrobras-form-strategic-alliance.html,Oil and Gas: BP and Petrobras form strategic alliance,"... BP and <b>Petrobras</b> currently partner in 16 exploration blocks in Brazil and are ... <br>
aims to lead the oil and gas industry response to <b>climate change</b>."
https://news.mongabay.com/2017/12/brazil-uk-push-offshore-oil-pact-a-potential-climate-change-disaster/,"Brazil / UK push offshore oil pact, a potential climate change disaster","... The September and October auctions counted BP, Shell, Exxon, and Brazil&#39;s <br>
<b>Petrobras</b> among the big winners. Exploitation of Brazil&#39;s offshore&nbsp;..."
https://www.duo.uio.no/bitstream/handle/10852/57995/CSR-and-Innovation--ESST-Master-thesis--Maria-Borgeraas-Reinlie.pdf?sequence=1,Corporate Social Responsibility (CSR) and Innovation,"What is the relationship between CSR and innovation in Petrobras? 6 ...... most <br>
important stakeholders in relation to <b>Petrobras</b>&#39; <b>climate change</b> strategies to be."
http://www.greencarcongress.com/2018/04/20180412-bp.html,BP and Petrobras sign MOU to further strategic alliance - Green Car ...,"... BP and <b>Petrobras</b> currently partner in 16 exploration blocks in Brazil and ... aims <br>
to lead the oil and gas industry response to <b>climate change</b>."
https://www.sciencedirect.com/science/article/pii/S1876610214024692,The First Brazilian Field Lab Fully Dedicated to CO2 MMV ...,"This perspective motivated <b>PETROBRAS</b>, the National Oil Major in Brazil, ... of <br>
the <b>PETROBRAS</b> R&amp;D Center (CENPES), through its <b>Climate Change</b> Mitigation<br>
&nbsp;..."
http://www.petrobras.com/en/magazine/post/detalhe/mes/2013-2.htm,Detalhe - Magazine - Petrobras,"The index methodology evaluates a variety of criteria, including strategies <br>
focused on <b>climate change</b>, energy consumption, development of human <br>
resources,&nbsp;..."
https://www.co2captureproject.org/links.html,CO2 Capture Project - Links,"<b>Climate Change</b> and Environment links. Bellona &middot; US EPA Climate ... United <br>
Nations Framework Convention on <b>Climate Change</b> &middot; UN and <b>climate change</b>."
