url,title,text
http://there100.org/steering-committee,Steering Committee - RE100,"Mark Kenber has worked on <b>climate change</b> for over 20 years. ... Global Head of <br>
<b>Corporate</b> Affairs, Mainstream Renewable Power ... of the world&#39;s leading <br>
companies, including Boeing, HP, J&amp;J, <b>Kimberly</b>-<b>Clark</b>, PepsiCo, PwC, and <br>
Unilever."
https://www.greentechmedia.com/articles/read/corporations-bypass-politics-lead-clean-energy-2017,How Corporations 'Bypassed the Politics' to Lead on Clean Energy ...,"... As part of their <b>climate</b> action plans, 119 companies have committed to ... In New <br>
York City alone, UPS is planning to <b>convert</b> up to 1,500 tucks to EVs by 2022. ... <br>
<b>Kimberly</b>-<b>Clark</b> also made some big commitments to clean energy in 2017, with <br>
the ... U.S. Renewable Energy Map: A Guide for <b>Corporate</b> Buyers."
https://www.greenbiz.com/article/circular-economy-moves-theory-practice,The circular economy moves from theory to practice | GreenBiz,"... <b>Kimberly</b>-<b>Clark</b>, General Motors and Bill Gates are among those pushing ... The <br>
renewed business commitment to fighting <b>climate change</b> at COP21 in Paris ... <br>
the next reporting requirement for <b>corporate</b> sustainability officers."
https://informedinfrastructure.com/category/water/drinking-water-water/,Drinking Water | Informed Infrastructure,"With <b>global</b> water requirements increasing to 40% by 2030, according to Frost ... <br>
To address this challenge, <b>Kimberly</b>-<b>Clark Corporation</b> has partnered with ... <br>
partnerships to promote collaborative, systemic <b>change</b> benefitting the health of <br>
our&nbsp;..."
http://www.naem.org/page/CP_SUS_emergingissue/Key-Practice-Area---Global-EHS---Emerging-Issues-in-Sustainability-Man.htm,Key Practice Area - Global EHS - Emerging Issues in Sustainability ...,"Peggy Ward, Director Sustainability; <b>Kimberly</b>-<b>Clark Corp</b>. .... Paper on <br>
environmental management systems, sustainable forestry and <b>climate change</b> <br>
policy."
http://sustainablebusinessawards.com/winners/sba-singapore/,Sustainable Business Awards » SBA Singapore,"With a broad spectrum of operations, Keppel <b>Corporation</b> has gone above and <br>
beyond in this sector. ... By 2022, <b>Kimberly</b>-<b>Clark</b> plans to implement a water <br>
strategy with a clear 4-step process with ley initiative for each step. ... <b>Climate</b> <br>
<b>Change</b>&nbsp;..."
https://www.marriott.com/MarriottInternational/CorporateResponsability/Performance_New_2016/SPG_PDFs/CDP-2011-Supply-Chain-Report.pdf,Carbon Disclosure Project Supply Chain Report 2011 (PDF),"<b>Kimberly</b>-<b>Clark Corporation</b>. United States ... <b>Climate change</b> and supply chains. <br>
Over 50% of an .... 2 Intergovernmental Panel for <b>Climate Change</b> (IPCC)."
http://windcoalition.org/category/issues/corporate-purchases/,Corporate Purchases Archives - The Wind Coalition,"... How Renewable Energy Can Counteract <b>Climate Change</b> M&amp;M&#39;S, one of Mars, <br>
... EDF Renewable Energy Signs Agreement with <b>Kimberly</b>-<b>Clark Corporation</b> to <br>
... Rock Falls Wind Project Aids <b>Kimberly</b>-<b>Clark</b> to Achieve Its Greenhouse Gas&nbsp;..."
https://www.linkedin.com/in/jacquie-fegent-mcgeachie-8474164,Jacquie Fegent-McGeachie | الملف الشخصي,"<b>Global</b> Director- Sustainability &amp; <b>Corporate</b> Social Responsibility Strategy &amp; <br>
Communication ... I led <b>global</b> consumer goods giant <b>Kimberly</b>-<b>Clark</b> to win a raft <br>
of top ... <b>global</b> and Australian businesses on behaviour <b>change</b>, reputation and <br>
trust,&nbsp;..."
http://www.csrhub.com/CSR_and_sustainability_information/Kimberly-Clark-Corporation,CSR & sustainability info for Kimberly-Clark Corporation | CSR Ratings,"<b>Corporate</b> social responsibility (CSR) and sustainability data for <b>Kimberly</b>-<b>Clark</b> <br>
<b>Corporation</b>, Manufacturing and USA. Environment 55 Employees 65 Community <br>
55 Governance 51. ... Energy &amp; <b>Climate Change</b>&nbsp;..."
